Team,Skill-Gap,num_times_cluster_0,num_times_cluster_1,dominant_cluster,percent_dominant_cluster,sample_size (num_games)
PSG,-1,0.0,0.0,0,0.0,0.0
PSG,0,0.0,0.0,0,0.0,0.0
PSG,1,37.0,1.0,0,97.37,38.0
Amiens SC,-1,0.0,14.0,1,100.0,14.0
Amiens SC,0,4.0,16.0,1,80.0,20.0
Amiens SC,1,1.0,3.0,1,75.0,4.0
Nice,-1,5.0,3.0,0,62.5,8.0
Nice,0,16.0,0.0,0,100.0,16.0
Nice,1,13.0,1.0,0,92.86,14.0
Saint-Étienne,-1,2.0,6.0,1,75.0,8.0
Saint-Étienne,0,5.0,11.0,1,68.75,16.0
Saint-Étienne,1,10.0,4.0,0,71.43,14.0
Rennes,-1,2.0,6.0,1,75.0,8.0
Rennes,0,4.0,6.0,1,60.0,10.0
Rennes,1,8.0,12.0,1,60.0,20.0
Troyes,-1,4.0,24.0,1,85.71,28.0
Troyes,0,0.0,10.0,1,100.0,10.0
Troyes,1,0.0,0.0,0,0.0,0.0
Bayern München,-1,0.0,0.0,0,0.0,0.0
Bayern München,0,0.0,0.0,0,0.0,0.0
Bayern München,1,32.0,2.0,0,94.12,34.0
Bayer Leverkusen,-1,0.0,2.0,1,100.0,2.0
Bayer Leverkusen,0,8.0,6.0,0,57.14,14.0
Bayer Leverkusen,1,13.0,5.0,0,72.22,18.0
Werder Bremen,-1,1.0,11.0,1,91.67,12.0
Werder Bremen,0,8.0,10.0,1,55.56,18.0
Werder Bremen,1,1.0,3.0,1,75.0,4.0
Hoffenheim,-1,0.0,2.0,1,100.0,2.0
Hoffenheim,0,7.0,7.0,0,50.0,14.0
Hoffenheim,1,10.0,8.0,0,55.56,18.0
Stuttgart,-1,2.0,2.0,0,50.0,4.0
Stuttgart,0,6.0,12.0,1,66.67,18.0
Stuttgart,1,4.0,8.0,1,66.67,12.0
Hertha BSC,-1,0.0,12.0,1,100.0,12.0
Hertha BSC,0,8.0,10.0,1,55.56,18.0
Hertha BSC,1,2.0,2.0,0,50.0,4.0
Freiburg,-1,4.0,14.0,1,77.78,18.0
Freiburg,0,4.0,10.0,1,71.43,14.0
Freiburg,1,1.0,1.0,0,50.0,2.0
Eintracht Frankfurt,-1,2.0,2.0,0,50.0,4.0
Eintracht Frankfurt,0,8.0,12.0,1,60.0,20.0
Eintracht Frankfurt,1,3.0,7.0,1,70.0,10.0
Borussia M'gladbach,-1,2.0,2.0,0,50.0,4.0
Borussia M'gladbach,0,10.0,10.0,0,50.0,20.0
Borussia M'gladbach,1,9.0,1.0,0,90.0,10.0
Köln,-1,10.0,22.0,1,68.75,32.0
Köln,0,1.0,1.0,0,50.0,2.0
Köln,1,0.0,0.0,0,0.0,0.0
Schalke 04,-1,0.0,2.0,1,100.0,2.0
Schalke 04,0,1.0,7.0,1,87.5,8.0
Schalke 04,1,6.0,18.0,1,75.0,24.0
RB Leipzig,-1,0.0,2.0,1,100.0,2.0
RB Leipzig,0,8.0,8.0,0,50.0,16.0
RB Leipzig,1,12.0,4.0,0,75.0,16.0
Hamburger SV,-1,8.0,18.0,1,69.23,26.0
Hamburger SV,0,1.0,7.0,1,87.5,8.0
Hamburger SV,1,0.0,0.0,0,0.0,0.0
Augsburg,-1,3.0,11.0,1,78.57,14.0
Augsburg,0,4.0,12.0,1,75.0,16.0
Augsburg,1,1.0,3.0,1,75.0,4.0
Hannover 96,-1,1.0,15.0,1,93.75,16.0
Hannover 96,0,3.0,13.0,1,81.25,16.0
Hannover 96,1,1.0,1.0,0,50.0,2.0
Mainz 05,-1,0.0,18.0,1,100.0,18.0
Mainz 05,0,3.0,11.0,1,78.57,14.0
